,0
log_population,0.22656057024895027
gazeteer_distance,0.177717722856565
landslide_setting_above_road,0.11770410552701356
month,0.1085217516291255
landslide_setting_natural_slope,0.061195052861756555
landslide_trigger_rain,0.032930057015724074
landslide_setting_unknown,0.028590704461861908
landslide_category_mudslide,0.026398089573766464
landslide_category_rock_fall,0.026189103211078896
landslide_setting_nan,0.02601370762464233
landslide_trigger_downpour,0.022929206326880714
landslide_category_landslide,0.02186287988280392
landslide_setting_below_road,0.016625971442995123
landslide_trigger_continuous_rain,0.014097502510725895
landslide_trigger_tropical_cyclone,0.014079490795653056
landslide_category_complex,0.013717755280580377
landslide_setting_above_river,0.011347997861174748
landslide_setting_mine,0.009367653270807776
landslide_setting_urban,0.008545115930165575
landslide_category_debris_flow,0.007594625151359846
landslide_trigger_monsoon,0.006579316076480767
landslide_setting_deforested_slope,0.004582912782928957
landslide_category_unknown,0.0033830424270477975
landslide_setting_retaining_wall,0.0020375751657470105
landslide_setting_burned_area,0.0018764459415486507
landslide_setting_engineered_slope,0.0017403079026648061
landslide_category_other,0.0015899146592025493
landslide_category_translational_slide,0.001564265911639558
landslide_setting_other,0.001354144866092069
landslide_category_riverbank_collapse,0.0011382513749983514
landslide_setting_bluff,0.0010208896171002859
landslide_setting_above_coast,0.000559224574862588
landslide_category_lahar,0.00020858199532005622
landslide_category_creep,0.0001980153249705319
landslide_category_earth_flow,0.000124800183713084
landslide_category_snow_avalanche,3.760309378864651e-05
landslide_category_topple,1.564463826268486e-05
landslide_trigger_nan,0.0
landslide_category_nan,0.0
